date,Regroupement,Croisement,Nom,new_doses,total_doses,cv_xbb_tot_n,pop_tot_n,cv_xbb_tot_p,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,311,311,,,,
2020-12-15,Région,RSS99,Ensemble du Québec,1188,1499,,,,
2020-12-16,Région,RSS99,Ensemble du Québec,971,2470,,,,
2020-12-17,Région,RSS99,Ensemble du Québec,914,3384,,,,708
2020-12-18,Région,RSS99,Ensemble du Québec,742,4126,,,,738
2020-12-19,Région,RSS99,Ensemble du Québec,718,4844,,,,859
2020-12-20,Région,RSS99,Ensemble du Québec,115,4959,,,,1258
2020-12-21,Région,RSS99,Ensemble du Québec,520,5479,,,,1559
2020-12-22,Région,RSS99,Ensemble du Québec,2030,7509,,,,1453
2020-12-23,Région,RSS99,Ensemble du Québec,3765,11274,,,,1797
2020-12-24,Région,RSS99,Ensemble du Québec,3024,14298,,,,2107
2020-12-25,Région,RSS99,Ensemble du Québec,0,14298,,,,2394
2020-12-26,Région,RSS99,Ensemble du Québec,3127,17425,,,,2441
2020-12-27,Région,RSS99,Ensemble du Québec,2281,19706,,,,2340
2020-12-28,Région,RSS99,Ensemble du Québec,2531,22237,,,,1957
2020-12-29,Région,RSS99,Ensemble du Québec,2357,24594,,,,1957
2020-12-30,Région,RSS99,Ensemble du Québec,3060,27654,,,,1601
2020-12-31,Région,RSS99,Ensemble du Québec,342,27996,,,,1494
2021-01-01,Région,RSS99,Ensemble du Québec,4,28000,,,,1532
2021-01-02,Région,RSS99,Ensemble du Québec,629,28629,,,,2050
2021-01-03,Région,RSS99,Ensemble du Québec,1537,30166,,,,3151
2021-01-04,Région,RSS99,Ensemble du Québec,2793,32959,,,,5066
2021-01-05,Région,RSS99,Ensemble du Québec,5983,38942,,,,6981
2021-01-06,Région,RSS99,Ensemble du Québec,10769,49711,,,,8143
2021-01-07,Région,RSS99,Ensemble du Québec,13749,63460,,,,8935
2021-01-08,Région,RSS99,Ensemble du Québec,13408,76868,,,,9589
2021-01-09,Région,RSS99,Ensemble du Québec,8765,85633,,,,9871
2021-01-10,Région,RSS99,Ensemble du Québec,7076,92709,,,,9639
2021-01-11,Région,RSS99,Ensemble du Québec,7370,100079,,,,9367
2021-01-12,Région,RSS99,Ensemble du Québec,7958,108037,,,,9050
2021-01-13,Région,RSS99,Ensemble du Québec,9146,117183,,,,9003
2021-01-14,Région,RSS99,Ensemble du Québec,11843,129026,,,,9011
2021-01-15,Région,RSS99,Ensemble du Québec,11191,140217,,,,9478
2021-01-16,Région,RSS99,Ensemble du Québec,8434,148651,,,,9819
2021-01-17,Région,RSS99,Ensemble du Québec,7132,155783,,,,10150
2021-01-18,Région,RSS99,Ensemble du Québec,10644,166427,,,,10424
2021-01-19,Région,RSS99,Ensemble du Québec,10341,176768,,,,10527
2021-01-20,Région,RSS99,Ensemble du Québec,11467,188235,,,,10536
2021-01-21,Région,RSS99,Ensemble du Québec,13762,201997,,,,9814
2021-01-22,Région,RSS99,Ensemble du Québec,11907,213904,,,,8935
2021-01-23,Région,RSS99,Ensemble du Québec,8496,222400,,,,8045
2021-01-24,Région,RSS99,Ensemble du Québec,2084,224484,,,,6947
2021-01-25,Région,RSS99,Ensemble du Québec,4486,228970,,,,5461
2021-01-26,Région,RSS99,Ensemble du Québec,4112,233082,,,,4086
2021-01-27,Région,RSS99,Ensemble du Québec,3782,236864,,,,2956
2021-01-28,Région,RSS99,Ensemble du Québec,3362,240226,,,,2770
2021-01-29,Région,RSS99,Ensemble du Québec,2279,242505,,,,2188
2021-01-30,Région,RSS99,Ensemble du Québec,584,243089,,,,1702
2021-01-31,Région,RSS99,Ensemble du Québec,782,243871,,,,1588
2021-02-01,Région,RSS99,Ensemble du Québec,415,244286,,,,1841
2021-02-02,Région,RSS99,Ensemble du Québec,711,244997,,,,2240
2021-02-03,Région,RSS99,Ensemble du Québec,2981,247978,,,,2621
2021-02-04,Région,RSS99,Ensemble du Québec,5137,253115,,,,2841
2021-02-05,Région,RSS99,Ensemble du Québec,5072,258187,,,,3281
2021-02-06,Région,RSS99,Ensemble du Québec,3252,261439,,,,3700
2021-02-07,Région,RSS99,Ensemble du Québec,2319,263758,,,,4115
2021-02-08,Région,RSS99,Ensemble du Québec,3496,267254,,,,4791
2021-02-09,Région,RSS99,Ensemble du Québec,3643,270897,,,,5535
2021-02-10,Région,RSS99,Ensemble du Québec,5887,276784,,,,5308
2021-02-11,Région,RSS99,Ensemble du Québec,9869,286653,,,,5111
2021-02-12,Région,RSS99,Ensemble du Québec,10281,296934,,,,5046
2021-02-13,Région,RSS99,Ensemble du Québec,1658,298592,,,,4812
2021-02-14,Région,RSS99,Ensemble du Québec,942,299534,,,,4352
2021-02-15,Région,RSS99,Ensemble du Québec,3042,302576,,,,4646
2021-02-16,Région,RSS99,Ensemble du Québec,2006,304582,,,,5807
2021-02-17,Région,RSS99,Ensemble du Québec,2663,307245,,,,7696
2021-02-18,Région,RSS99,Ensemble du Québec,11927,319172,,,,8880
2021-02-19,Région,RSS99,Ensemble du Québec,18409,337581,,,,10163
