date,Regroupement,Croisement,Nom,new_doses,total_doses,cv_xbb_tot_n,pop_tot_n,cv_xbb_tot_p,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,311,311,,,,
2020-12-15,Région,RSS99,Ensemble du Québec,1188,1499,,,,
2020-12-16,Région,RSS99,Ensemble du Québec,971,2470,,,,
2020-12-17,Région,RSS99,Ensemble du Québec,914,3384,,,,708
2020-12-18,Région,RSS99,Ensemble du Québec,742,4126,,,,738
2020-12-19,Région,RSS99,Ensemble du Québec,718,4844,,,,858
2020-12-20,Région,RSS99,Ensemble du Québec,114,4958,,,,1258
2020-12-21,Région,RSS99,Ensemble du Québec,520,5478,,,,1559
2020-12-22,Région,RSS99,Ensemble du Québec,2030,7508,,,,1453
2020-12-23,Région,RSS99,Ensemble du Québec,3765,11273,,,,1797
2020-12-24,Région,RSS99,Ensemble du Québec,3024,14297,,,,2107
2020-12-25,Région,RSS99,Ensemble du Québec,0,14297,,,,2394
2020-12-26,Région,RSS99,Ensemble du Québec,3127,17424,,,,2441
2020-12-27,Région,RSS99,Ensemble du Québec,2281,19705,,,,2340
2020-12-28,Région,RSS99,Ensemble du Québec,2531,22236,,,,1957
2020-12-29,Région,RSS99,Ensemble du Québec,2357,24593,,,,1958
2020-12-30,Région,RSS99,Ensemble du Québec,3061,27654,,,,1601
2020-12-31,Région,RSS99,Ensemble du Québec,342,27996,,,,1495
2021-01-01,Région,RSS99,Ensemble du Québec,4,28000,,,,1532
2021-01-02,Région,RSS99,Ensemble du Québec,630,28630,,,,2050
2021-01-03,Région,RSS99,Ensemble du Québec,1538,30168,,,,3151
2021-01-04,Région,RSS99,Ensemble du Québec,2793,32961,,,,5067
2021-01-05,Région,RSS99,Ensemble du Québec,5983,38944,,,,6981
2021-01-06,Région,RSS99,Ensemble du Québec,10769,49713,,,,8144
2021-01-07,Région,RSS99,Ensemble du Québec,13749,63462,,,,8935
2021-01-08,Région,RSS99,Ensemble du Québec,13408,76870,,,,9588
2021-01-09,Région,RSS99,Ensemble du Québec,8765,85635,,,,9871
2021-01-10,Région,RSS99,Ensemble du Québec,7075,92710,,,,9639
2021-01-11,Région,RSS99,Ensemble du Québec,7370,100080,,,,9367
2021-01-12,Région,RSS99,Ensemble du Québec,7958,108038,,,,9050
2021-01-13,Région,RSS99,Ensemble du Québec,9146,117184,,,,9003
2021-01-14,Région,RSS99,Ensemble du Québec,11844,129028,,,,9011
2021-01-15,Région,RSS99,Ensemble du Québec,11191,140219,,,,9478
2021-01-16,Région,RSS99,Ensemble du Québec,8434,148653,,,,9819
2021-01-17,Région,RSS99,Ensemble du Québec,7132,155785,,,,10150
2021-01-18,Région,RSS99,Ensemble du Québec,10643,166428,,,,10425
2021-01-19,Région,RSS99,Ensemble du Québec,10341,176769,,,,10527
2021-01-20,Région,RSS99,Ensemble du Québec,11467,188236,,,,10536
2021-01-21,Région,RSS99,Ensemble du Québec,13764,202000,,,,9815
2021-01-22,Région,RSS99,Ensemble du Québec,11907,213907,,,,8935
2021-01-23,Région,RSS99,Ensemble du Québec,8496,222403,,,,8045
2021-01-24,Région,RSS99,Ensemble du Québec,2084,224487,,,,6947
2021-01-25,Région,RSS99,Ensemble du Québec,4486,228973,,,,5461
2021-01-26,Région,RSS99,Ensemble du Québec,4113,233086,,,,4086
2021-01-27,Région,RSS99,Ensemble du Québec,3782,236868,,,,2956
2021-01-28,Région,RSS99,Ensemble du Québec,3362,240230,,,,2770
2021-01-29,Région,RSS99,Ensemble du Québec,2279,242509,,,,2188
2021-01-30,Région,RSS99,Ensemble du Québec,584,243093,,,,1702
2021-01-31,Région,RSS99,Ensemble du Québec,782,243875,,,,1588
2021-02-01,Région,RSS99,Ensemble du Québec,415,244290,,,,1841
2021-02-02,Région,RSS99,Ensemble du Québec,711,245001,,,,2240
2021-02-03,Région,RSS99,Ensemble du Québec,2981,247982,,,,2622
2021-02-04,Région,RSS99,Ensemble du Québec,5137,253119,,,,2841
2021-02-05,Région,RSS99,Ensemble du Québec,5072,258191,,,,3281
2021-02-06,Région,RSS99,Ensemble du Québec,3253,261444,,,,3700
2021-02-07,Région,RSS99,Ensemble du Québec,2319,263763,,,,4115
2021-02-08,Région,RSS99,Ensemble du Québec,3496,267259,,,,4791
2021-02-09,Région,RSS99,Ensemble du Québec,3643,270902,,,,5536
2021-02-10,Région,RSS99,Ensemble du Québec,5887,276789,,,,5308
2021-02-11,Région,RSS99,Ensemble du Québec,9870,286659,,,,5111
2021-02-12,Région,RSS99,Ensemble du Québec,10282,296941,,,,5046
2021-02-13,Région,RSS99,Ensemble du Québec,1658,298599,,,,4812
2021-02-14,Région,RSS99,Ensemble du Québec,942,299541,,,,4352
2021-02-15,Région,RSS99,Ensemble du Québec,3042,302583,,,,4646
2021-02-16,Région,RSS99,Ensemble du Québec,2006,304589,,,,5807
2021-02-17,Région,RSS99,Ensemble du Québec,2663,307252,,,,7696
2021-02-18,Région,RSS99,Ensemble du Québec,11927,319179,,,,8880
2021-02-19,Région,RSS99,Ensemble du Québec,18411,337590,,,,10163
