date,Regroupement,Croisement,Nom,new_doses,total_doses,cv_xbb_tot_n,pop_tot_n,cv_xbb_tot_p,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,148,148,,,,
2020-12-15,Région,RSS06,06 - Montréal,372,520,,,,
2020-12-16,Région,RSS06,06 - Montréal,318,838,,,,
2020-12-17,Région,RSS06,06 - Montréal,289,1127,,,,
2020-12-18,Région,RSS06,06 - Montréal,145,1272,,,,
2020-12-19,Région,RSS06,06 - Montréal,82,1354,,,,
2020-12-20,Région,RSS06,06 - Montréal,80,1434,,,,
2020-12-21,Région,RSS06,06 - Montréal,317,1751,,,,
2020-12-22,Région,RSS06,06 - Montréal,579,2330,,,,
2020-12-23,Région,RSS06,06 - Montréal,486,2816,,,,
2020-12-24,Région,RSS06,06 - Montréal,181,2997,,,,
2020-12-25,Région,RSS06,06 - Montréal,0,2997,,,,
2020-12-26,Région,RSS06,06 - Montréal,217,3214,,,,
2020-12-27,Région,RSS06,06 - Montréal,201,3415,,,,
2020-12-28,Région,RSS06,06 - Montréal,582,3997,,,,
2020-12-29,Région,RSS06,06 - Montréal,556,4553,,,,
2020-12-30,Région,RSS06,06 - Montréal,581,5134,,,,
2020-12-31,Région,RSS06,06 - Montréal,32,5166,,,,
2021-01-01,Région,RSS06,06 - Montréal,4,5170,,,,
2021-01-02,Région,RSS06,06 - Montréal,14,5184,,,,
2021-01-03,Région,RSS06,06 - Montréal,16,5200,,,,
2021-01-04,Région,RSS06,06 - Montréal,562,5762,,,,
2021-01-05,Région,RSS06,06 - Montréal,1895,7657,,,,
2021-01-06,Région,RSS06,06 - Montréal,2737,10394,,,,
2021-01-07,Région,RSS06,06 - Montréal,4104,14498,,,,
2021-01-08,Région,RSS06,06 - Montréal,3783,18281,,,,
2021-01-09,Région,RSS06,06 - Montréal,2026,20307,,,,
2021-01-10,Région,RSS06,06 - Montréal,1405,21712,,,,
2021-01-11,Région,RSS06,06 - Montréal,1614,23326,,,,
2021-01-12,Région,RSS06,06 - Montréal,1077,24403,,,,
2021-01-13,Région,RSS06,06 - Montréal,1268,25671,,,,
2021-01-14,Région,RSS06,06 - Montréal,1877,27548,,,,
2021-01-15,Région,RSS06,06 - Montréal,1759,29307,,,,
2021-01-16,Région,RSS06,06 - Montréal,1148,30455,,,,
2021-01-17,Région,RSS06,06 - Montréal,962,31417,,,,
2021-01-18,Région,RSS06,06 - Montréal,1102,32519,,,,
2021-01-19,Région,RSS06,06 - Montréal,1293,33812,,,,
2021-01-20,Région,RSS06,06 - Montréal,1571,35383,,,,
2021-01-21,Région,RSS06,06 - Montréal,1958,37341,,,,
2021-01-22,Région,RSS06,06 - Montréal,2202,39543,,,,
2021-01-23,Région,RSS06,06 - Montréal,1263,40806,,,,
2021-01-24,Région,RSS06,06 - Montréal,386,41192,,,,
2021-01-25,Région,RSS06,06 - Montréal,636,41828,,,,
2021-01-26,Région,RSS06,06 - Montréal,786,42614,,,,
2021-01-27,Région,RSS06,06 - Montréal,707,43321,,,,
2021-01-28,Région,RSS06,06 - Montréal,871,44192,,,,
2021-01-29,Région,RSS06,06 - Montréal,214,44406,,,,
2021-01-30,Région,RSS06,06 - Montréal,58,44464,,,,
2021-01-31,Région,RSS06,06 - Montréal,13,44477,,,,
2021-02-01,Région,RSS06,06 - Montréal,33,44510,,,,
2021-02-02,Région,RSS06,06 - Montréal,119,44629,,,,
2021-02-03,Région,RSS06,06 - Montréal,2226,46855,,,,
2021-02-04,Région,RSS06,06 - Montréal,3393,50248,,,,
2021-02-05,Région,RSS06,06 - Montréal,3441,53689,,,,
2021-02-06,Région,RSS06,06 - Montréal,1491,55180,,,,
2021-02-07,Région,RSS06,06 - Montréal,461,55641,,,,
2021-02-08,Région,RSS06,06 - Montréal,1153,56794,,,,
2021-02-09,Région,RSS06,06 - Montréal,547,57341,,,,
2021-02-10,Région,RSS06,06 - Montréal,1172,58513,,,,
2021-02-11,Région,RSS06,06 - Montréal,1806,60319,,,,
2021-02-12,Région,RSS06,06 - Montréal,1847,62166,,,,
2021-02-13,Région,RSS06,06 - Montréal,82,62248,,,,
2021-02-14,Région,RSS06,06 - Montréal,61,62309,,,,
2021-02-15,Région,RSS06,06 - Montréal,848,63157,,,,
2021-02-16,Région,RSS06,06 - Montréal,184,63341,,,,
2021-02-17,Région,RSS06,06 - Montréal,420,63761,,,,
2021-02-18,Région,RSS06,06 - Montréal,2423,66184,,,,
2021-02-19,Région,RSS06,06 - Montréal,3873,70057,,,,
2021-02-20,Région,RSS06,06 - Montréal,2528,72585,,,,
2021-02-21,Région,RSS06,06 - Montréal,1939,74524,,,,
2021-02-22,Région,RSS06,06 - Montréal,2187,76711,,,,
2021-02-23,Région,RSS06,06 - Montréal,1619,78330,,,,
2021-02-24,Région,RSS06,06 - Montréal,1916,80246,,,,
