date,negative_tests_qc,cases_qc,new_cases_qc,deaths_qc,new_deaths_qc,Hospitalisations,icu_qc,Personnes testﾃｩes,active_cases_qc,Tests (Volumﾃｩtrie),Hospitalisations (nouvelle mﾃｩthode),Unnamed: 12,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,Unnamed: 31,CHSLD,RPA,Domicile,Autres - Inconnu,Unnamed: 36,Montrﾃｩal et Laval,Rﾃｩgions ﾃ proximitﾃｩ,Autres rﾃｩgions,Unnamed: 40,Cas Labo,Cas Lien ﾃ英i,Cas Total,Cumul Labo,Cumul ﾃ英i,NV CHSLD,NV RPA,NV Dom,NV Autres,Moy mobile,Inc Hors-SI,Inc SI,hospitalisations_all,hospitalisations_qc,new_negative_tests_qc
2020-02-27,91,1,,,,0.0,,92,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,,0.0,0.0,
2020-02-28,104,1,0.0,,0.0,0.0,,105,1,,,,0.0,0.0,0.1323698573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0219437367,,1,0,1,1,0,,,,,,,,0.0,0.0,13.0
2020-02-29,138,1,0.0,,0.0,0.0,,139,1,,,,0.0,0.0,0.1323698573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0219437367,,0,0,0,1,0,,,,,,,,0.0,0.0,34.0
2020-03-01,189,1,0.0,,0.0,0.0,,190,1,,,,0.0,0.0,0.1323698573,0.0,0.0,0.04841074777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.03986601829,0.0,0.0219437367,,0,1,1,1,1,,,,,,,,0.0,0.0,51.0
2020-03-02,203,1,0.0,,0.0,0.0,,204,1,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.0,0.06979579843,0.0,0.0,,,,,,,0.1195980549,0.0,0.06583121009,,4,0,4,5,1,,,,,,,,0.0,0.0,14.0
2020-03-03,203,1,0.0,,0.0,0.0,,204,1,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.1594977734,0.1395915969,0.0,0.0,,,,,,,0.1195980549,0.0,0.1097186835,,2,0,2,7,1,,,,,,,,0.0,0.0,0.0
2020-03-04,242,2,1.0,,0.0,0.0,,244,2,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.1594977734,0.2791831937,0.0,0.0,,,,,,,0.1195980549,0.0,0.15360615689999998,,2,0,2,9,1,,,,,,,,0.0,0.0,39.0
2020-03-05,260,3,1.0,,0.0,0.0,,263,3,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.1594977734,0.3489789922,0.0,0.0,,,,,,,0.1195980549,0.06786277062000001,0.15360615689999998,,1,0,1,10,1,,,,,,,,0.0,0.0,18.0
2020-03-06,303,3,0.0,,0.0,0.0,,306,3,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.3189955468,0.4187747906,0.0,0.0,,,,,,,0.1195980549,0.1357255412,0.1755498936,,2,0,2,12,1,,,,,,,,0.0,0.0,43.0
2020-03-07,340,4,1.0,,0.0,0.0,,344,4,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.3189955468,0.4187747906,0.0,0.0,,,,,,,0.1195980549,0.1357255412,0.1755498936,,0,0,0,12,1,,,,,,,,0.0,0.0,37.0
2020-03-08,376,4,0.0,,0.0,0.0,,380,4,353.0,,,0.0,0.0,0.1323698573,0.0,0.0,0.1936429911,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.3189955468,0.4187747906,0.0,0.0,,,,,,,0.1594640731,0.1357255412,0.1755498936,,1,0,1,13,1,,,,,,,,0.0,0.0,36.0
2020-03-09,465,5,1.0,,0.0,0.0,,470,5,68.0,,,0.0,0.0,0.1323698573,0.0,0.0,0.2420537388,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.3189955468,0.4187747906,0.0,0.0,,,,,,,0.1993300914,0.1357255412,0.1755498936,,1,0,1,14,1,,,,,,,,0.0,0.0,89.0
