date,mtl_doses,qc_doses,mtl_new_doses,qc_new_doses,mtl_percent_vaccinated,qc_percent_vaccinated,qc_new_doses_received,qc_doses_received,qc_percent_used
2020-12-14,0,0,0,0,0.0,0.0,4875,4875,0.0
2020-12-15,0,0,0,0,0.0,0.0,0,4875,0.0
2020-12-16,1155,2582,0,0,0.0279572068354039,0.0151187371275547,0,4875,52.9641025641026
2020-12-17,1347,3305,192,723,0.0326046386210295,0.0193522177407313,0,4875,67.7948717948718
2020-12-18,1531,4020,184,715,0.0370584274155874,0.023538854861646002,0,4875,82.4615384615385
2020-12-19,1646,4716,115,696,0.0398420454121861,0.0276142386884384,0,4875,96.7384615384615
2020-12-20,1761,4831,115,115,0.042625663408784716,0.0282876138897044,0,4875,99.09743589743591
2020-12-21,2110,5273,349,442,0.0510733388941146,0.0308757168371789,49725,54600,9.65750915750916
2020-12-22,2908,7229,798,1956,0.0703892272531209,0.0423289506952336,0,54600,13.239926739926698
2020-12-23,3666,11171,758,3942,0.0887369006567886,0.0654110815073252,0,54600,20.459706959707
2020-12-26,4143,17316,477,6145,0.10028286399920198,0.10139273900106,0,54600,31.714285714285694
2020-12-27,4353,19643,210,2327,0.10536599251473,0.115018339812764,0,54600,35.9761904761905
2020-12-28,5153,22500,800,2857,0.12473029162150301,0.131747321986825,1400,56000,40.1785714285714
2020-12-29,6053,25315,900,2815,0.146515128116623,0.14823037582651,0,56000,45.2053571428571
2020-12-30,6857,29250,804,3935,0.165976248718931,0.17127151858287196,32075,88075,33.210332103321
2021-01-02,6907,28762,50,-488,0.167186517413104,0.168414065554891,0,88075,32.656258870281
2021-01-03,6907,30473,0,1711,0.167186517413104,0.17843271746242198,0,88075,34.5989213738291
2021-01-04,7531,32763,624,2290,0.182290670716387,0.19184166712241502,0,88075,37.1989781436276
2021-01-05,9735,38984,2204,6221,0.235639314755548,0.228268337792639,0,88075,44.26227646891851
2021-01-06,12722,48632,2987,9648,0.307940766545462,0.284761589460589,26070,114145,42.605457970125705
2021-01-07,17809,62602,5087,13970,0.43107350349065704,0.366562037823075,0,114145,54.844277016076
2021-01-08,21904,75123,4095,12521,0.5301945095434529,0.43987795864961,1230,115375,65.1120260021668
2021-01-09,24280,84387,2376,9264,0.587706477890569,0.494122722688985,0,115375,73.1414951245937
2021-01-10,26263,92452,1983,8065,0.635705734301484,0.5413468183255961,0,115375,80.131744312026
2021-01-11,28600,99510,2337,7058,0.692273693067145,0.58267448937373,0,115375,86.24918743228598
2021-01-12,30068,107365,1468,7855,0.727807181928074,0.628668943338463,40950,156325,68.68063329601789
2021-01-13,31669,115704,1601,8339,0.7665599855155041,0.677497428585047,5850,162175,71.3451518421458
2021-01-14,34032,127073,2363,11369,0.823757284002136,0.744067886525856,0,162175,78.3554801911515
2021-01-15,36162,137856,2130,10783,0.87531473037392,0.807207058658475,10610,172785,79.7847035332928
2021-01-16,37593,146694,1431,8838,0.90995262040116,0.8589574067349001,23390,196175,74.77711227220591
2021-01-17,38822,153539,1229,6845,0.9397010249039408,0.899037869801558,0,196175,78.2663438256659
2021-01-18,40224,164053,1402,10514,0.9736369590885612,0.960601929506868,0,196175,83.62584427169621
2021-01-19,40224,164053,0,0,0.9736369590885612,0.9606019295068681,0,196175,83.6258442716962
