RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,545,276.94
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,92,33.17
03 - Capitale-Nationale,51,2,0,0,53,3971,522.40
04 - Mauricie et Centre-du-Québec,3,0,0,0,3,268,51.11
05 - Estrie,24,0,0,0,24,314,63.21
06 - Montréal,988,8,3,5,1004,5282,254.13
07 - Outaouais,39,1,0,5,45,1442,356.53
08 - Abitibi-Témiscamingue,0,131,0,0,131,208,140.87
09 - Côte-Nord,0,0,0,0,0,24,26.86
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,16,17.85
12 - Chaudière-Appalaches,12,0,0,0,12,980,226.90
13 - Laval,98,3,0,1,102,1162,260.20
14 - Lanaudière,58,5,0,1,64,557,106.17
15 - Laurentides,101,6,1,0,108,800,126.28
16 - Montérégie,49,3,2,0,54,1128,78.13
Inconnu,0,1,0,0,1,627,
Hors Québec,12,0,0,1,13,28,
Ensemble du Québec,1435,160,6,13,1614,17444,203.03
